Unnamed: 0,mode,patient_id,filename,actual_filename,found
6,train,BraTS-MEN-RT-0009-1,BraTS-MEN-RT-0009-1_t1c_bet.nii.gz,,False
7,train,BraTS-MEN-RT-0011-1,BraTS-MEN-RT-0011-1_t1c_bet.nii.gz,,False
12,train,BraTS-MEN-RT-0020-1,BraTS-MEN-RT-0020-1_t1c_bet.nii.gz,,False
13,train,BraTS-MEN-RT-0022-1,BraTS-MEN-RT-0022-1_t1c_bet.nii.gz,,False
18,train,BraTS-MEN-RT-0029-1,BraTS-MEN-RT-0029-1_t1c_bet.nii.gz,,False
24,train,BraTS-MEN-RT-0041-1,BraTS-MEN-RT-0041-1_t1c_bet.nii.gz,,False
26,train,BraTS-MEN-RT-0045-1,BraTS-MEN-RT-0045-1_t1c_bet.nii.gz,,False
31,train,BraTS-MEN-RT-0053-1,BraTS-MEN-RT-0053-1_t1c_bet.nii.gz,,False
40,train,BraTS-MEN-RT-0063-1,BraTS-MEN-RT-0063-1_t1c_bet.nii.gz,,False
42,train,BraTS-MEN-RT-0065-1,BraTS-MEN-RT-0065-1_t1c_bet.nii.gz,,False
45,train,BraTS-MEN-RT-0068-1,BraTS-MEN-RT-0068-1_t1c_bet.nii.gz,,False
52,train,BraTS-MEN-RT-0075-1,BraTS-MEN-RT-0075-1_t1c_bet.nii.gz,,False
58,train,BraTS-MEN-RT-0081-1,BraTS-MEN-RT-0081-1_t1c_bet.nii.gz,,False
62,train,BraTS-MEN-RT-0086-1,BraTS-MEN-RT-0086-1_t1c_bet.nii.gz,,False
63,train,BraTS-MEN-RT-0087-1,BraTS-MEN-RT-0087-1_t1c_bet.nii.gz,,False
64,train,BraTS-MEN-RT-0088-1,BraTS-MEN-RT-0088-1_t1c_bet.nii.gz,,False
68,train,BraTS-MEN-RT-0092-1,BraTS-MEN-RT-0092-1_t1c_bet.nii.gz,,False
75,train,BraTS-MEN-RT-0102-1,BraTS-MEN-RT-0102-1_t1c_bet.nii.gz,,False
81,train,BraTS-MEN-RT-0109-1,BraTS-MEN-RT-0109-1_t1c_bet.nii.gz,,False
