,mode,patient_id,filename
6,train,BraTS-MEN-RT-0009-1,BraTS-MEN-RT-0009-1_t1c_bet.nii.gz
7,train,BraTS-MEN-RT-0011-1,BraTS-MEN-RT-0011-1_t1c_bet.nii.gz
12,train,BraTS-MEN-RT-0020-1,BraTS-MEN-RT-0020-1_t1c_bet.nii.gz
13,train,BraTS-MEN-RT-0022-1,BraTS-MEN-RT-0022-1_t1c_bet.nii.gz
18,train,BraTS-MEN-RT-0029-1,BraTS-MEN-RT-0029-1_t1c_bet.nii.gz
24,train,BraTS-MEN-RT-0041-1,BraTS-MEN-RT-0041-1_t1c_bet.nii.gz
26,train,BraTS-MEN-RT-0045-1,BraTS-MEN-RT-0045-1_t1c_bet.nii.gz
31,train,BraTS-MEN-RT-0053-1,BraTS-MEN-RT-0053-1_t1c_bet.nii.gz
40,train,BraTS-MEN-RT-0063-1,BraTS-MEN-RT-0063-1_t1c_bet.nii.gz
42,train,BraTS-MEN-RT-0065-1,BraTS-MEN-RT-0065-1_t1c_bet.nii.gz
45,train,BraTS-MEN-RT-0068-1,BraTS-MEN-RT-0068-1_t1c_bet.nii.gz
52,train,BraTS-MEN-RT-0075-1,BraTS-MEN-RT-0075-1_t1c_bet.nii.gz
58,train,BraTS-MEN-RT-0081-1,BraTS-MEN-RT-0081-1_t1c_bet.nii.gz
62,train,BraTS-MEN-RT-0086-1,BraTS-MEN-RT-0086-1_t1c_bet.nii.gz
63,train,BraTS-MEN-RT-0087-1,BraTS-MEN-RT-0087-1_t1c_bet.nii.gz
64,train,BraTS-MEN-RT-0088-1,BraTS-MEN-RT-0088-1_t1c_bet.nii.gz
68,train,BraTS-MEN-RT-0092-1,BraTS-MEN-RT-0092-1_t1c_bet.nii.gz
75,train,BraTS-MEN-RT-0102-1,BraTS-MEN-RT-0102-1_t1c_bet.nii.gz
81,train,BraTS-MEN-RT-0109-1,BraTS-MEN-RT-0109-1_t1c_bet.nii.gz
85,train,BraTS-MEN-RT-0114-1,BraTS-MEN-RT-0114-1_t1c_bet.nii.gz
97,train,BraTS-MEN-RT-0130-1,BraTS-MEN-RT-0130-1_t1c_bet.nii.gz
99,train,BraTS-MEN-RT-0132-1,BraTS-MEN-RT-0132-1_t1c_bet.nii.gz
105,train,BraTS-MEN-RT-0141-1,BraTS-MEN-RT-0141-1_t1c_bet.nii.gz
109,train,BraTS-MEN-RT-0145-1,BraTS-MEN-RT-0145-1_t1c_bet.nii.gz
111,train,BraTS-MEN-RT-0147-1,BraTS-MEN-RT-0147-1_t1c_bet.nii.gz
117,train,BraTS-MEN-RT-0153-1,BraTS-MEN-RT-0153-1_t1c_bet.nii.gz
126,train,BraTS-MEN-RT-0163-1,BraTS-MEN-RT-0163-1_t1c_bet.nii.gz
127,train,BraTS-MEN-RT-0164-1,BraTS-MEN-RT-0164-1_t1c_bet.nii.gz
128,train,BraTS-MEN-RT-0165-1,BraTS-MEN-RT-0165-1_t1c_bet.nii.gz
129,train,BraTS-MEN-RT-0166-1,BraTS-MEN-RT-0166-1_t1c_bet.nii.gz
130,train,BraTS-MEN-RT-0167-1,BraTS-MEN-RT-0167-1_t1c_bet.nii.gz
